name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Nico Hoerner,2023,26,5.5,3.15,2.35,-2.35,1
Nico Hoerner,2024,27,3.7,2.87,0.83,-0.83,2
Nico Hoerner,2025,28,6.2,2.65,3.55,-3.55,3
Nolan Arenado,2023,32,2.2,4.02,1.82,1.82,1
Nolan Arenado,2024,33,2.7,3.58,0.88,0.88,2
Nolan Arenado,2025,34,1.3,3.44,2.14,2.14,3
Orlando Arcia,2023,28,1.7,0.95,0.75,-0.75,1
Orlando Arcia,2024,29,0.5,0.95,0.45,0.45,2
Ozzie Albies,2023,26,5.0,2.42,2.58,-2.58,1
Ozzie Albies,2024,27,1.6,2.62,1.02,1.02,2
Ozzie Albies,2025,28,2.1,2.5,0.4,0.4,3
Patrick Wisdom,2023,31,0.5,1.08,0.58,0.58,1
Paul DeJong,2024,30,0.9,1.46,0.56,0.56,2
Paul Goldschmidt,2023,35,3.3,4.39,1.09,1.09,1
Paul Goldschmidt,2024,36,1.4,3.45,2.05,2.05,2
Paul Goldschmidt,2025,37,1.2,3.3,2.1,2.1,3
Pete Alonso,2023,28,3.3,3.16,0.14,-0.14,1
Pete Alonso,2024,29,2.5,2.69,0.19,0.19,2
Pete Alonso,2025,30,3.4,2.27,1.13,-1.13,3
Rafael Devers,2023,26,3.5,3.0,0.5,-0.5,1
Rafael Devers,2024,27,3.9,2.63,1.27,-1.27,2
